order_id,order_date,ship_date,customer_id,region_id
CA-2016-152156,2016-11-08,2016-11-11,CG-12520,1
CA-2016-138688,2016-06-12,2016-06-16,DV-13045,2
US-2015-108966,2015-10-11,2015-10-18,SO-20335,1
CA-2014-115812,2014-06-09,2014-06-14,BH-11710,2
CA-2017-114412,2017-04-15,2017-04-20,AA-10480,1
CA-2016-161389,2016-12-05,2016-12-10,IM-15070,2
US-2015-118983,2015-11-22,2015-11-26,HP-14815,3
CA-2014-105893,2014-11-11,2014-11-18,PK-19075,3
CA-2014-167164,2014-05-13,2014-05-15,AG-10270,2
CA-2014-143336,2014-08-27,2014-09-01,ZD-21925,2
CA-2016-137330,2016-12-09,2016-12-13,KB-16585,3
US-2017-156909,2017-07-16,2017-07-18,SF-20065,4
CA-2015-106320,2015-09-25,2015-09-30,EB-13870,2
CA-2016-121755,2016-01-16,2016-01-20,EH-13945,2
US-2015-150630,2015-09-17,2015-09-21,TB-21520,4
CA-2017-107727,2017-10-19,2017-10-23,MA-17560,3
CA-2016-117590,2016-12-08,2016-12-10,GH-14485,3
CA-2015-117415,2015-12-27,2015-12-31,SN-20710,3
CA-2017-120999,2017-09-10,2017-09-15,LC-16930,3
CA-2016-101343,2016-07-17,2016-07-22,RA-19885,2
CA-2017-139619,2017-09-19,2017-09-23,ES-14080,1
CA-2016-118255,2016-03-11,2016-03-13,ON-18715,3
CA-2014-146703,2014-10-20,2014-10-25,PO-18865,3
CA-2016-169194,2016-06-20,2016-06-25,LH-16900,4
CA-2015-115742,2015-04-18,2015-04-22,DP-13000,3
CA-2016-105816,2016-12-11,2016-12-17,JM-15265,4
CA-2016-111682,2016-06-17,2016-06-18,TB-21055,4
CA-2015-135545,2015-11-24,2015-11-30,KM-16720,2
US-2015-164175,2015-04-30,2015-05-05,PS-18970,3
CA-2014-106376,2014-12-05,2014-12-10,BS-11590,2
CA-2016-119823,2016-06-04,2016-06-06,KD-16270,1
CA-2016-106075,2016-09-18,2016-09-23,HM-14980,4
CA-2017-114440,2017-09-14,2017-09-17,TB-21520,3
US-2015-134026,2015-04-26,2015-05-02,JE-15745,1
US-2017-118038,2017-12-09,2017-12-11,KB-16600,3
US-2014-147606,2014-11-26,2014-12-01,JE-15745,3
CA-2016-127208,2016-06-12,2016-06-15,SC-20770,1
CA-2014-139451,2014-10-12,2014-10-16,DN-13690,2
CA-2015-149734,2015-09-03,2015-09-08,JC-16105,1
US-2017-119662,2017-11-13,2017-11-16,CS-12400,3
CA-2017-140088,2017-05-28,2017-05-30,PO-18865,1
CA-2017-155558,2017-10-26,2017-11-02,PG-18895,3
CA-2016-159695,2016-04-05,2016-04-10,GM-14455,3
CA-2016-109806,2016-09-17,2016-09-22,JS-15685,2
CA-2015-149587,2015-01-31,2015-02-05,KB-16315,3
US-2017-109484,2017-11-06,2017-11-12,RB-19705,2
CA-2017-161018,2017-11-09,2017-11-11,PN-18775,4
CA-2017-157833,2017-06-17,2017-06-20,KD-16345,2
CA-2016-149223,2016-09-06,2016-09-11,ER-13855,3
CA-2016-158568,2016-08-29,2016-09-02,RB-19465,3
CA-2016-129903,2016-12-01,2016-12-04,GZ-14470,3
US-2015-156867,2015-11-13,2015-11-17,LC-16870,2
CA-2017-119004,2017-11-23,2017-11-28,JM-15250,1
CA-2015-129476,2015-10-15,2015-10-20,PA-19060,3
CA-2017-146780,2017-12-25,2017-12-30,CV-12805,4
CA-2016-128867,2016-11-03,2016-11-10,CL-12565,3
CA-2014-115259,2014-08-25,2014-08-27,RC-19960,4
CA-2015-110457,2015-03-02,2015-03-06,DK-13090,2
US-2015-136476,2015-04-05,2015-04-10,GG-14650,1
CA-2016-103730,2016-06-12,2016-06-15,SC-20725,4
US-2014-152030,2014-12-26,2014-12-28,AD-10180,3
US-2014-134614,2014-09-20,2014-09-25,PF-19165,3
US-2017-107272,2017-11-05,2017-11-12,TS-21610,2
US-2016-125969,2016-11-06,2016-11-10,LS-16975,2
US-2017-164147,2017-02-02,2017-02-05,DW-13585,4
CA-2016-145583,2016-10-13,2016-10-19,LC-16885,2
CA-2016-110366,2016-09-05,2016-09-07,JD-15895,4
CA-2017-106180,2017-09-18,2017-09-23,SH-19975,2
CA-2017-155376,2017-12-22,2017-12-27,SG-20080,3
CA-2015-110744,2015-09-07,2015-09-12,HA-14920,2
CA-2014-110072,2014-10-22,2014-10-28,MG-17680,4
CA-2016-114489,2016-12-05,2016-12-09,JE-16165,3
CA-2016-158834,2016-03-13,2016-03-16,TW-21025,2
CA-2015-124919,2015-05-31,2015-06-02,SP-20650,2
CA-2015-118948,2015-05-28,2015-06-03,NK-18490,2
CA-2014-104269,2014-03-01,2014-03-06,DB-13060,2
CA-2016-114104,2016-11-20,2016-11-24,NP-18670,3
CA-2016-162733,2016-05-11,2016-05-12,TT-21070,2
CA-2015-119697,2015-12-28,2015-12-31,EM-13960,4
CA-2016-154508,2016-11-16,2016-11-20,RD-19900,2
CA-2016-113817,2016-11-07,2016-11-11,MJ-17740,2
CA-2014-139892,2014-09-08,2014-09-12,BM-11140,3
CA-2014-118962,2014-08-05,2014-08-09,CS-12130,2
